MLC ID,Commitment,Reporting Lead,All ministers
1325,Accelerate work to end chronic homelessness among Veterans through a new rent supplement program and wrap around supports.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Veterans Affairs and Associate Minister of National Defence"
1327,"With Indigenous partners, co-develop an Indigenous Urban, Rural and Northern Housing Strategy.",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1328,Create a National Indigenous Housing Centre.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations"
1329,Expand the eligibility requirements of the deep home retrofit loan program to include more climate resilience measures for individual homeowners.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Environment and Climate Change; Minister of Natural Resources"
1332,Increase funding to multicultural community programs.,Minister of Housing and Diversity and Inclusion,Minister of Housing and Diversity and Inclusion
1334,"Develop policies and projects that tackle discrimination and unconscious bias in public and private institutions, including anti-Black racism.",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister for Women and Gender Equality and Youth; President of the Treasury Board; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Innovation, Science and Industry; Minister of Health; Minister of Justice and Attorney General of Canada; Minister of Crown-Indigenous Relations"
1339,"Invest in Reaching Home: Canada’s Homelessness Strategy, to support communities across the country.",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Mental Health and Addictions and Associate Minister of Health, Minister of Health; Minister for Women and Gender Equality and Youth; Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Families, Children and Social Development"
1340,Accelerate work to end chronic homelessness among Veterans through the Rapid Housing Initiative and a dedicated stream of funding for Veterans within the National Housing Co-Investment Fund.,Minister of Housing and Diversity and Inclusion,Minister of Housing and Diversity and Inclusion; Minister of Veterans Affairs and Associate Minister of National Defence
1341,Expand the eligibility requirements of the deep home retrofit loan program to include more climate resilience measures for multi-unit residential buildings.,Minister of Housing and Diversity and Inclusion,Minister of Housing and Diversity and Inclusion; Minister of Natural Resources
1401,Continue to bring newcomers to Canada to drive economic growth and recovery.,"Minister of Immigration, Refugees and Citizenship","Minister of Immigration, Refugees and Citizenship; Minister of Public Safety; Minister of Public Services and Procurement"
1402,Expand the new immigration stream for human rights defenders and work with civil society groups to provide resettlement opportunities for people under threat.,"Minister of Immigration, Refugees and Citizenship","Minister of Immigration, Refugees and Citizenship; Minister of Foreign Affairs"
1403,"Facilitate the safe passage and resettlement of vulnerable people from Afghanistan, and increase the number of eligible refugees from Afghanistan from 20,000 to at least 40,000.","Minister of Immigration, Refugees and Citizenship","Minister of Immigration, Refugees and Citizenship; Minister of Foreign Affairs; Minister of National Defence; Minister of Health; Minister of Public Safety; Minister of Justice and Attorney General of Canada; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Transport"
